IF_Estudante;ID_carro;Excitante;Confiável;Luxuoso;PróprioParaOArLivre;Poderoso;Estiloso;Confortável;Vigoroso;Gostoso;Seguro;Desempenho;Família;Versátil;Esportivo;Status;Prático
1001;5;3;5;5;1;3;4;5;1;3;5;3;5;3;1;4;3
1002;6;2;3;2;1;2;1;2;2;2;3;2;4;3;1;1;4
1003;7;3;5;4;1;4;4;4;1;3;5;3;NA;4;2;4;3
1004;8;3;2;3;1;2;3;3;1;3;2;3;2;2;3;4;2
1005;9;5;4;4;2;3;5;3;3;5;4;5;1;2;5;5;2
1006;10;2;4;3;3;2;2;4;1;2;5;2;5;4;1;3;4
1007;1;3;2;3;1;3;4;2;2;2;3;2;2;2;4;1;2
1008;2;2;3;3;5;3;4;3;5;4;3;2;4;5;5;3;3
1009;3;2;5;4;1;3;3;4;1;2;4;2;4;2;2;3;4
1010;4;5;3;2;5;4;4;3;5;4;4;3;4;5;5;4;5
1011;5;5;3;5;1;4;4;4;2;5;4;4;1;1;3;4;1
1012;6;1;3;3;4;2;1;5;4;1;5;1;5;3;1;2;5
1013;7;2;5;4;1;4;4;4;1;1;5;5;5;5;3;4;5
1014;8;5;2;3;1;5;3;3;2;5;4;5;4;3;4;4;3
1015;9;5;5;5;1;4;5;2;1;5;1;5;1;1;5;5;1
1016;10;2;5;4;2;4;4;5;1;4;5;4;5;5;3;4;5
1017;1;4;5;4;3;;4;4;3;4;4;4;3;4;4;4;4
1018;2;3;4;3;5;4;4;5;5;5;3;3;5;5;4;3;5
1019;3;3;5;5;1;4;3;5;1;3;5;4;3;3;3;4;3
1020;4;3;2;2;5;4;4;3;5;2;2;3;3;5;2;3;4
1021;5;5;4;4;2;4;4;4;1;4;4;4;4;4;2;4;3
1022;6;1;3;2;2;1;1;2;1;1;1;1;5;3;1;1;3
1023;7;3;5;4;1;5;3;4;1;3;4;5;3;2;1;5;2
1024;8;4;4;5;3;5;5;5;2;4;4;4;4;3;4;3;4
1025;9;5;3;5;3;5;5;5;3;5;2;5;2;2;5;5;1
1026;10;2;4;2;3;2;2;3;2;2;5;4;5;4;2;2;4
1027;1;5;4;5;3;5;5;3;1;5;3;5;1;2;5;5;2
1028;2;4;4;4;5;5;4;2;4;4;4;4;5;4;5;4;3
1029;3;3;4;3;1;2;2;4;1;2;4;1;5;3;1;2;3
1030;4;3;1;2;5;3;2;2;5;2;1;2;3;5;3;3;2
1031;5;3;4;3;1;3;3;4;2;4;3;4;2;2;4;3;2
1032;6;2;3;2;2;3;3;3;3;2;3;2;4;4;2;3;3
1033;7;4;4;4;2;4;4;4;2;3;4;4;4;4;4;4;4
1034;8;5;3;4;1;3;5;3;1;5;3;4;2;2;1;5;3
1035;9;5;2;2;2;4;5;2;2;5;1;5;1;1;5;5;2
1036;10;2;4;3;3;3;2;4;3;2;5;2;5;4;2;2;4
1037;1;3;1;3;1;4;3;3;1;3;3;3;1;1;2;4;2
1038;2;2;3;4;5;5;3;4;5;3;5;1;4;4;3;3;3
1039;3;3;4;4;2;4;4;4;;4;4;4;3;3;3;5;3
1040;4;4;3;3;5;5;4;4;5;4;3;4;5;4;4;4;4
1041;5;2;5;5;1;4;4;5;1;3;5;4;4;3;1;4;4
1042;6;2;3;2;2;2;2;3;2;3;3;3;5;5;2;2;2
1043;7;4;4;5;2;4;5;4;3;4;4;4;3;3;4;5;4
1044;8;4;1;3;2;3;3;3;2;3;3;3;2;2;2;3;2
1045;9;5;4;5;1;5;5;3;2;5;2;5;1;1;5;5;2
1046;10;2;4;4;1;4;3;4;2;3;5;4;4;4;3;3;4
1047;1;4;3;4;2;4;4;3;1;5;3;4;2;2;4;5;2
1048;2;5;5;5;5;5;5;5;5;5;5;2;5;5;3;3;5
1049;3;4;3;4;2;5;5;4;2;4;3;5;3;2;4;4;2
1050;4;3;3;3;5;4;3;3;4;3;3;3;4;4;3;3;3
1051;5;3;4;4;1;3;4;4;1;4;4;4;4;4;2;5;4
1052;6;2;3;2;4;4;2;4;4;1;3;3;5;4;2;2;4
1053;7;4;4;5;1;3;5;4;2;4;4;2;4;3;3;5;4
1054;8;4;3;4;2;4;5;3;2;5;4;5;4;4;4;4;4
1055;9;5;4;4;5;5;5;3;1;5;4;5;1;2;5;5;1
1056;10;2;5;4;3;4;3;4;3;3;5;4;5;4;3;4;5
1057;1;3;4;5;1;2;5;4;1;4;3;3;3;2;3;5;3
1058;2;1;3;3;4;4;2;3;4;1;4;2;4;2;1;2;4
1059;3;4;4;4;2;4;4;4;1;4;4;4;3;2;2;4;3
1060;4;4;4;3;5;4;4;4;5;4;3;4;3;2;5;4;2
1061;5;2;5;5;1;4;3;4;1;4;4;3;5;3;2;4;5
1062;6;1;5;1;2;1;1;5;2;2;5;2;5;3;1;1;5
1063;7;3;5;4;2;3;3;4;4;4;4;4;3;3;NA;3;3
1064;8;3;3;4;3;3;3;4;4;3;5;3;4;4;3;4;4
1065;9;5;3;3;2;4;4;3;2;5;1;4;1;1;5;4;2
1066;10;3;4;4;4;3;4;4;5;2;5;3;5;5;4;4;5
1067;1;2;4;4;1;2;5;3;2;5;3;3;1;1;5;4;3
1068;2;3;4;3;5;5;3;4;5;5;5;1;3;5;5;3;4
1069;3;3;4;4;1;3;4;4;1;4;4;3;3;4;3;5;4
1070;4;4;4;4;3;5;3;3;4;4;4;3;3;4;3;3;3
1071;5;4;3;4;2;4;4;4;1;4;4;4;3;3;3;4;3
1072;6;1;4;3;2;3;2;4;2;2;5;3;5;4;1;2;5
1073;7;4;5;5;1;5;5;5;3;5;5;5;2;2;3;5;2
1074;8;4;4;4;1;3;4;3;1;4;4;4;3;3;3;4;3
1075;9;5;4;4;4;5;5;4;4;5;4;5;2;3;5;5;2
1076;10;2;5;4;4;3;2;3;3;2;5;4;5;4;2;4;4
1077;1;3;4;4;2;3;3;3;2;3;4;4;2;2;4;4;3
1078;2;3;2;3;4;3;3;3;4;4;4;2;3;4;4;3;3
1079;3;2;4;5;1;3;3;4;1;2;4;3;5;2;1;4;4
1080;4;4;4;5;4;5;5;5;4;5;4;4;4;4;4;5;4
1081;5;5;5;5;2;4;5;4;1;4;4;4;4;4;4;4;4
1082;6;3;3;3;3;3;3;3;3;2;3;2;4;2;2;2;3
1083;7;3;4;4;2;4;4;4;4;4;5;4;4;3;3;4;3
1084;8;4;3;4;3;5;3;3;3;4;3;4;3;3;4;4;3
1085;9;5;3;2;3;5;5;2;3;5;2;5;1;2;5;5;1
1086;10;1;5;4;3;3;2;4;3;3;5;4;5;5;3;4;4
1087;1;4;5;4;2;4;5;4;2;4;4;5;3;2;3;5;4
1088;2;3;4;3;5;4;3;4;5;4;4;3;4;4;2;3;4
1089;3;3;5;5;2;4;4;4;3;4;4;4;4;3;3;5;4
1090;4;4;4;4;5;5;3;3;5;4;3;2;3;4;5;3;3
1091;5;3;5;5;1;3;3;4;2;2;4;3;3;2;2;4;3
1092;6;1;4;1;2;2;1;3;2;1;4;1;5;3;1;1;3
1093;7;3;5;5;1;3;4;4;3;4;4;4;3;3;3;4;2
1094;8;5;2;4;2;4;5;4;3;5;4;5;4;4;5;5;4
1095;9;5;2;3;3;5;5;2;2;5;2;5;1;1;5;4;1
1096;10;1;5;3;2;4;2;5;2;2;5;5;5;4;2;3;5
1097;1;4;3;3;3;4;4;4;3;4;4;4;3;3;4;4;3
1098;2;3;4;3;5;4;3;4;4;3;4;4;4;4;3;3;5
1099;3;4;4;4;1;4;4;5;1;4;4;4;1;3;4;4;3
1100;4;3;1;2;4;3;3;3;3;2;3;3;5;4;3;3;4
1101;5;4;5;5;1;5;5;5;1;4;4;5;3;3;3;5;3
1102;6;1;3;2;1;2;1;2;1;1;2;1;4;1;1;1;3
1103;7;4;5;5;2;4;5;5;1;3;5;5;4;2;2;5;4
1104;8;4;2;5;1;4;4;4;2;4;4;4;4;2;4;4;3
1105;9;4;4;3;2;4;4;2;4;5;4;4;1;2;5;4;1
1106;10;2;4;3;1;3;3;4;1;2;5;2;4;4;1;3;4
1107;1;4;4;4;2;3;3;4;2;4;4;4;3;4;2;4;3
1108;2;3;3;2;5;3;2;3;5;3;3;1;4;4;2;2;5
1109;3;2;4;3;1;3;4;4;1;4;4;4;4;3;2;3;4
1110;4;3;2;1;5;3;2;3;4;4;4;3;4;3;4;2;3
1111;5;2;5;4;2;3;3;4;2;3;4;3;4;1;3;4;4
1112;6;1;2;2;2;2;1;3;1;1;3;1;5;5;1;2;5
1113;7;3;5;5;2;3;4;4;3;3;5;3;4;2;3;5;3
1114;8;4;4;4;4;5;5;4;3;5;5;5;4;4;3;4;4
1115;9;5;4;4;3;4;4;4;3;5;3;4;1;1;5;5;1
1116;10;1;3;1;1;1;1;1;1;2;2;2;5;2;4;1;5
1117;1;4;3;3;3;4;4;3;2;4;3;3;2;2;4;5;3
1118;2;2;3;3;5;4;3;4;5;3;4;2;3;4;2;4;2
1119;3;2;3;3;1;2;2;3;1;3;3;3;3;2;1;2;3
1120;4;4;5;3;5;4;3;4;5;5;4;4;5;4;5;3;5
1121;5;2;4;4;1;4;4;4;2;4;4;4;4;2;2;4;3
1122;6;2;4;1;3;1;1;3;2;1;3;1;5;4;2;2;4
1123;7;3;5;4;1;3;3;4;1;3;5;3;4;3;3;4;4
1124;8;3;3;3;3;3;4;4;3;4;4;4;3;3;4;3;3
1125;9;4;2;2;1;5;4;2;1;5;2;5;1;1;5;5;1
1126;10;1;4;2;3;4;1;4;2;1;5;4;5;4;2;3;4
1127;1;4;3;4;2;4;5;4;1;5;3;5;2;3;4;5;3
1128;2;3;4;2;5;3;3;4;4;4;4;2;5;2;2;2;4
1129;3;3;4;4;1;3;3;4;1;3;4;4;3;2;2;4;3
1130;4;2;3;4;5;5;4;5;5;3;4;3;4;5;4;4;4
1131;5;4;5;5;1;4;4;5;2;4;4;4;4;3;3;4;5
1132;6;2;3;2;3;2;2;3;2;2;3;1;4;3;2;1;2
1133;7;4;5;5;3;4;5;5;1;4;5;5;3;3;3;5;4
1134;8;5;3;3;3;5;4;4;3;5;5;5;3;3;4;3;3
1135;9;5;4;4;3;4;5;4;3;5;5;5;1;1;5;5;2
1136;10;3;4;4;3;4;3;4;4;3;5;3;5;3;3;3;4
1137;1;4;5;4;2;4;5;3;2;4;4;5;3;2;4;5;2
1138;2;4;4;4;5;4;4;4;5;4;3;3;4;4;3;3;4
1139;3;3;2;3;1;3;3;4;1;3;3;3;3;2;2;2;3
1140;4;4;4;4;5;5;4;4;5;4;4;5;5;5;5;4;4
1141;5;2;5;5;1;2;5;5;1;2;4;4;3;1;1;5;4
1142;6;1;5;4;2;3;2;5;1;5;3;1;5;4;1;4;5
1143;7;3;5;5;1;4;4;4;1;4;4;5;2;4;2;5;3
1144;8;3;5;3;3;5;2;4;3;4;4;5;5;4;3;2;3
1145;9;5;3;1;5;5;5;3;4;5;3;5;1;3;5;5;3
1146;10;2;4;3;3;2;3;4;3;2;5;2;5;4;2;3;4
1147;1;4;4;5;1;4;5;4;1;4;4;4;2;3;2;4;5
1148;2;3;3;3;5;4;4;4;5;4;4;4;4;5;5;4;4
1149;3;2;3;4;2;4;3;4;1;2;4;3;3;2;2;3;3
1150;4;4;3;2;5;4;4;3;5;3;3;2;4;4;4;3;5
1151;5;3;3;3;3;3;3;3;1;3;3;3;3;3;1;3;3
1152;6;2;3;2;3;3;1;3;1;1;4;1;5;2;1;2;4
1153;7;3;3;4;2;4;4;4;2;3;3;4;3;2;4;4;3
1154;8;2;1;1;1;4;1;3;1;3;3;3;3;3;3;2;4
1155;9;5;2;5;4;5;5;2;2;5;2;3;1;2;5;5;2
1156;10;2;4;4;1;3;3;4;2;3;5;3;5;5;3;4;5
1157;1;3;4;5;1;4;5;4;1;4;4;5;1;3;1;5;2
1158;2;3;4;2;5;4;3;4;NA;3;4;2;3;4;2;2;4
1159;3;3;3;5;3;4;3;5;3;3;5;4;5;3;3;5;3
1160;4;3;3;3;5;4;2;4;4;3;4;3;4;4;3;3;4
1161;5;3;4;4;2;3;4;4;2;NA;NA;NA;NA;NA;NA;NA;NA
1162;6;1;4;1;2;2;1;3;2;1;4;2;5;4;1;1;4
1163;7;4;5;5;3;4;4;4;3;4;5;4;3;3;4;4;3
1164;8;4;3;3;2;3;4;3;2;4;3;4;3;3;4;4;2
1165;9;4;3;4;3;3;5;3;2;4;2;4;2;2;5;5;2
1166;10;1;5;2;2;3;1;2;2;2;5;2;5;3;2;2;4
1167;1;4;3;2;2;2;4;3;2;5;3;3;3;3;4;3;3
1168;2;3;3;3;4;3;3;3;4;2;3;2;5;5;2;3;5
1169;3;4;4;4;2;4;4;3;2;4;3;4;3;3;4;5;3
1170;4;3;3;4;4;3;5;4;3;3;3;3;5;4;3;4;4
1171;5;3;3;4;1;3;3;4;2;3;4;3;3;2;3;4;2
1172;6;1;1;1;3;1;1;3;1;1;1;1;3;1;1;1;1
1173;7;2;4;5;1;4;2;4;2;2;4;4;3;3;NA;4;3
1174;8;3;3;3;3;4;3;3;3;3;4;4;4;4;3;3;4
1175;9;5;2;3;2;5;5;1;1;5;2;5;1;2;5;5;2
1176;10;2;4;2;2;2;2;4;1;2;4;3;5;3;2;3;4
1177;1;2;3;3;1;2;3;3;1;3;3;4;2;3;2;4;3
1178;2;4;4;3;5;4;4;4;5;5;4;4;4;4;4;4;4
1179;3;4;4;4;2;5;4;4;3;4;3;4;3;3;4;4;3
1180;4;4;4;3;5;4;4;3;5;4;4;3;5;4;5;4;4
1181;5;3;5;4;3;3;3;3;3;3;4;4;3;3;3;4;3
1182;6;2;3;2;3;3;1;4;3;2;4;2;5;3;1;3;4
1183;7;5;5;4;1;4;4;4;1;4;4;4;3;3;NA;3;3
1184;8;4;4;3;3;4;3;3;3;4;3;3;2;3;3;3;3
1185;9;5;4;4;3;5;5;4;3;5;3;5;1;2;5;5;2
1186;10;1;4;3;2;3;1;5;3;1;5;4;5;3;1;3;5
1187;1;5;5;4;2;5;4;5;1;5;4;5;3;3;4;5;4
1188;2;3;4;3;5;4;3;4;5;4;4;3;4;4;5;3;3
1189;3;4;3;4;1;3;3;3;1;4;2;4;2;3;4;3;NA
1190;4;4;4;3;5;4;2;4;5;4;3;3;5;5;4;2;5
1191;5;3;5;5;3;4;4;5;1;4;5;5;3;3;3;5;3
1192;6;2;3;3;2;3;3;4;3;3;3;3;5;3;2;2;4
1193;7;3;5;4;2;4;4;4;1;5;4;4;4;3;3;4;4
1194;8;4;3;4;3;4;5;4;2;4;4;4;2;2;5;3;3
1195;9;5;3;4;2;5;5;2;2;5;1;5;2;2;5;4;1
1196;10;2;5;3;3;4;4;4;2;2;5;3;3;3;3;3;5
1197;1;2;2;3;3;3;3;3;2;4;3;3;2;2;4;3;1
1198;2;3;3;3;5;4;2;3;3;4;4;3;4;1;3;1;2
1199;3;4;4;5;1;5;5;5;1;5;5;5;4;2;2;5;3
1200;4;3;3;3;5;4;4;4;4;4;3;3;5;5;4;4;5
1201;5;4;4;5;2;4;5;5;2;4;4;4;4;3;3;5;5
1202;6;1;3;3;3;2;2;3;3;1;4;2;5;2;1;2;3
1203;7;2;1;4;1;2;2;4;1;3;5;3;1;1;3;5;2
1204;8;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4
1205;9;5;4;4;4;5;4;4;3;5;4;5;2;3;5;5;2
1206;10;3;5;2;3;3;3;4;4;3;5;3;5;3;2;4;4
1207;1;4;5;4;3;4;5;5;4;5;5;4;3;3;4;5;5
1208;2;4;4;2;5;4;4;5;5;5;5;4;4;5;5;5;5
1209;3;4;3;3;2;4;4;3;3;4;3;4;2;3;4;3;2
1210;4;4;5;3;5;5;3;4;5;3;4;3;5;5;3;4;5
1211;5;5;5;5;3;4;4;4;3;5;4;4;3;3;3;4;4
1212;6;2;4;3;1;3;2;4;1;1;3;2;5;4;1;2;5
1213;7;3;4;3;2;3;3;3;1;4;4;4;4;3;3;3;3
1214;8;4;3;4;2;5;4;4;2;5;4;5;3;3;5;4;2
1215;9;5;3;3;2;5;5;3;2;5;3;5;1;3;5;4;2
1216;10;1;5;1;1;1;2;2;2;1;2;1;3;1;1;1;2
1217;1;3;3;4;2;3;4;4;2;4;3;4;2;4;4;4;3
1218;2;4;4;4;5;5;4;4;5;5;5;3;3;4;4;3;4
1219;3;2;4;3;2;3;2;3;2;1;3;2;3;2;2;1;3
1220;4;3;4;2;5;3;4;5;3;2;5;3;5;3;2;3;5
1221;5;3;3;4;1;3;4;4;1;4;3;4;2;2;1;5;2
1222;6;1;3;2;3;2;1;4;2;1;3;1;5;4;1;2;4
1223;7;3;4;4;2;3;4;5;2;4;5;4;4;4;3;4;4
1224;8;4;2;4;2;3;3;4;2;3;3;3;4;4;3;3;3
1225;9;5;4;5;5;5;5;4;2;5;3;5;1;2;4;5;3
1226;10;2;4;3;3;3;2;4;3;2;5;3;5;4;2;3;4
1227;1;4;2;4;1;4;5;5;1;4;3;5;3;2;2;5;4
1228;2;3;4;3;5;4;4;5;5;3;4;3;4;4;4;4;3
1229;3;3;4;5;1;4;4;4;1;4;4;4;2;2;2;5;1
1230;4;2;3;1;3;2;1;3;3;1;2;1;2;3;3;1;3
1231;5;3;5;4;2;4;2;4;2;4;4;3;4;2;2;3;4
1232;6;2;4;2;3;5;2;4;4;2;5;4;5;4;3;3;4
1233;7;5;5;5;1;5;5;5;1;5;5;5;5;3;1;5;5
1234;8;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3
1235;9;5;3;5;3;5;5;3;3;5;3;5;1;3;5;5;2
1236;10;3;5;3;4;4;2;3;3;3;5;3;5;2;1;4;5
1237;1;4;4;5;2;3;5;4;3;3;3;4;2;3;5;5;2
1238;2;3;4;2;4;4;2;3;4;3;4;3;4;4;3;2;5
1239;3;1;3;3;1;3;3;3;1;3;3;2;4;3;2;3;3
1240;4;4;4;3;5;4;4;3;4;5;4;3;4;4;3;4;4
1241;5;4;5;5;2;5;5;5;3;5;5;5;3;3;3;5;3
1242;6;1;4;1;2;3;1;4;3;2;4;1;5;3;1;1;5
1243;7;4;5;5;1;4;4;4;4;3;5;4;3;3;3;5;3
1244;8;4;4;3;2;5;4;3;2;5;2;5;1;2;4;5;2
1245;9;5;4;4;4;5;5;3;4;5;1;5;1;1;5;5;1
1246;10;2;5;2;3;3;3;4;3;3;5;3;5;4;3;3;4
1247;1;4;4;4;3;4;4;3;2;5;3;4;3;4;3;4;4
1248;2;4;4;2;5;4;3;4;4;4;4;1;4;4;2;4;4
1249;3;4;3;4;1;3;4;4;1;4;4;3;3;3;3;4;3
1250;4;4;1;1;5;5;5;3;5;5;3;2;2;5;5;4;4
1251;5;3;3;5;1;4;5;4;1;3;4;4;3;2;1;4;1
1252;6;1;3;2;1;1;1;3;1;1;3;1;5;2;1;1;5
1253;7;5;5;5;4;5;5;5;3;5;5;5;4;4;4;5;4
1254;8;4;4;4;1;4;4;4;1;4;4;4;3;4;4;5;3
1255;9;5;1;5;4;4;4;2;2;5;1;5;1;1;5;5;1
1256;10;1;3;3;3;3;3;4;2;1;5;3;5;4;1;3;5
1257;1;4;3;4;1;3;5;4;1;5;3;4;1;2;4;5;3
1258;2;5;4;3;5;5;4;4;5;5;4;1;4;3;4;4;3
1259;3;4;3;4;2;3;4;4;2;4;3;4;4;3;4;4;4
1260;4;4;3;4;4;3;2;4;2;4;4;4;4;2;1;4;3
1261;5;3;4;5;2;3;4;4;2;3;4;4;3;3;2;5;3
1262;6;2;3;3;4;2;1;5;3;2;4;2;5;3;2;2;3
1263;7;3;5;4;1;3;5;5;4;4;5;4;3;4;3;4;2
1264;8;4;4;5;4;4;4;4;3;4;4;4;3;3;2;4;3
1265;9;5;5;5;5;5;5;5;3;5;4;4;1;3;5;5;4
1266;10;3;5;4;4;4;3;4;2;3;5;4;4;4;4;4;5
1267;1;4;2;4;1;4;5;5;1;5;4;5;2;2;4;5;2
1268;2;4;3;3;3;3;2;4;3;5;4;3;3;3;3;3;3
1269;3;2;3;3;2;3;3;4;1;2;3;3;4;3;2;3;3
1270;4;4;3;4;5;3;4;4;5;4;3;3;4;5;4;3;4
1271;5;3;5;4;2;5;4;4;2;3;4;4;4;3;3;4;3
1272;6;1;4;4;2;2;2;4;2;2;5;2;5;5;2;1;4
1273;7;5;5;5;4;5;5;5;4;5;5;5;4;4;5;5;4
1274;8;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;3
1275;9;5;3;4;2;4;4;3;2;5;3;4;2;2;5;4;2
1276;10;1;5;4;3;4;2;4;2;1;5;4;5;4;1;3;5
1277;1;4;4;3;4;4;3;3;3;3;4;4;3;3;2;3;4
1278;2;3;2;3;4;4;3;3;4;4;2;3;4;4;4;2;4
1279;3;3;5;4;2;3;2;4;1;3;5;3;4;3;2;2;3
1280;4;3;4;3;4;3;3;3;4;3;4;3;4;4;4;3;5
1281;5;3;4;4;3;4;4;4;3;3;4;3;4;3;1;3;3
1282;6;1;4;2;1;2;1;3;1;1;3;1;5;4;1;1;5
1283;7;3;5;4;3;2;3;5;3;3;5;5;5;4;2;5;4
1284;8;3;3;2;2;3;2;2;4;3;4;4;3;3;4;3;3
1285;9;5;4;3;4;4;4;3;2;5;3;5;1;2;5;5;2
1286;10;1;1;1;1;1;1;1;1;1;4;3;5;1;1;3;3
1287;1;5;3;4;2;3;4;3;3;5;3;4;2;2;4;5;3
1288;2;1;2;2;5;5;2;4;4;2;3;1;4;4;3;2;1
1289;3;5;5;4;3;4;5;5;4;5;5;4;4;4;3;3;4
1290;4;3;1;3;4;3;1;5;3;3;3;1;4;5;3;1;4
1291;5;4;4;4;2;4;5;5;2;4;4;4;4;3;3;4;4
1292;6;1;2;1;1;1;1;2;1;1;3;1;5;5;1;1;5
1293;7;4;5;5;3;5;5;5;1;5;5;5;5;4;3;5;3
1294;8;3;4;4;4;4;2;4;3;4;5;4;3;3;3;3;3
1295;9;5;4;5;5;5;5;3;4;5;4;5;2;4;5;5;3
1296;10;1;4;2;1;2;2;3;2;1;5;3;5;1;2;2;5
1297;1;4;4;5;1;3;4;4;1;4;4;4;1;1;2;4;3
1298;2;4;4;4;5;4;4;4;5;5;4;4;4;5;5;4;5
1299;3;2;4;4;1;4;4;4;1;3;4;4;4;2;2;3;4
1300;4;5;4;3;5;4;4;3;5;5;4;3;3;4;5;3;3
1301;5;4;4;3;2;2;4;4;1;4;4;3;3;3;1;3;1
1302;6;1;3;1;2;2;1;3;1;1;2;1;5;3;1;1;5
1303;7;4;3;5;3;4;4;4;3;4;4;3;3;3;3;4;3
